Theta,Radius,Area
0,6.50026e-15,0
0.0317333,0.28834,0.239637
0.0634665,0.576871,0.957319
0.0951998,0.865633,2.1493
0.126933,1.15441,3.80865
0.158666,1.44255,5.92302
0.1904,1.72882,8.47069
0.222133,2.01134,11.4159
0.253866,2.2877,14.7058
0.285599,2.55516,18.2712
0.317333,2.81107,22.0319
0.349066,3.05325,25.9049
0.380799,3.2803,29.8155
0.412532,3.49175,33.7058
0.444266,3.68807,37.5403
0.475999,3.87041,41.3057
0.507732,4.04035,45.0073
0.539465,4.19947,48.6609
0.571199,4.34913,52.2838
0.602932,4.49023,55.8868
0.634665,4.62316,59.4682
0.666398,4.74787,63.0112
0.698132,4.86397,66.4841
0.729865,4.97101,69.8429
0.761598,5.06855,73.037
0.793331,5.15643,76.0157
0.825065,5.23473,78.7359
0.856798,5.30385,81.1682
0.888531,5.36437,83.3009
0.920265,5.41687,85.1385
0.951998,5.46181,86.6956
0.983731,5.49938,87.9874
1.01546,5.52939,89.019
1.0472,5.55128,89.7789
1.07893,5.56426,90.2395
1.11066,5.56741,90.3651
1.1424,5.55988,90.1239
1.17413,5.541,89.498
1.20586,5.51039,88.4859
1.2376,5.46793,87.0987
1.26933,5.41374,85.3545
1.30106,5.34811,83.2751
1.3328,5.27136,80.8889
1.36453,5.1838,78.2352
1.39626,5.08574,75.367
1.428,4.97751,72.3485
1.45973,4.85962,69.2452
1.49146,4.73298,66.1102
1.5232,4.59908,62.974
1.55493,4.46021,59.8472
1.58666,4.31954,56.7371
1.6184,4.18111,53.6719
1.65013,4.04962,50.7199
1.68186,3.93015,47.9933
1.7136,3.82751,45.6322
1.74533,3.74558,43.7665
1.77706,3.6865,42.4625
1.8088,3.65009,41.6899
1.84053,3.63383,41.3414
1.87226,3.63332,41.28
1.904,3.64328,41.3759
1.93573,3.65858,41.5254
1.96746,3.67505,41.66
1.9992,3.69004,41.7477
2.03093,3.70263,41.7862
2.06266,3.71338,41.7911
2.0944,3.72402,41.7842
2.12613,3.7368,41.7874
2.15786,3.75387,41.8236
2.18959,3.77673,41.9148
2.22133,3.8058,42.0776
2.25306,3.84026,42.3151
2.28479,3.87809,42.6114
2.31653,3.91648,42.9323
2.34826,3.95224,43.2308
2.37999,3.98233,43.4556
2.41173,4.00421,43.5596
2.44346,4.01607,43.504
2.47519,4.01677,43.261
2.50693,4.00566,42.8123
2.53866,3.9822,42.145
2.57039,3.94566,41.2442
2.60213,3.89479,40.0837
2.63386,3.82773,38.6233
2.66559,3.74208,36.8151
2.69733,3.63508,34.6202
2.72906,3.50403,32.0266
2.76079,3.34669,29.0625
2.79253,3.16172,25.7976
2.82426,2.94905,22.3346
2.85599,2.71009,18.7954
2.88773,2.44766,15.3071
2.91946,2.1658,11.9909
2.95119,1.86927,8.95393
2.98293,1.56296,6.2839
3.01466,1.25128,4.0458
3.04639,0.937627,2.2819
3.07813,0.62415,1.01491
3.10986,0.311678,0.253703
3.14159,2.33765e-14,1.46555e-13
