Theta,Radius,Area
0,6.98735e-15,0
0.0317333,0.28647,0.24164
0.0634665,0.572417,0.962633
0.0951998,0.857185,2.14983
0.126933,1.13993,3.77794
0.158666,1.41959,5.80765
0.1904,1.69488,8.18712
0.222133,1.96432,10.8573
0.253866,2.22639,13.7602
0.285599,2.47959,16.8461
0.317333,2.72261,20.0798
0.349066,2.95444,23.4396
0.380799,3.17438,26.9127
0.412532,3.38209,30.4856
0.444266,3.57752,34.1362
0.475999,3.76087,37.8307
0.507732,3.9325,41.5277
0.539465,4.09292,45.1862
0.571199,4.24264,48.7728
0.602932,4.38217,52.2652
0.634665,4.51197,55.6503
0.666398,4.63239,58.9217
0.698132,4.74372,62.0759
0.729865,4.84621,65.1093
0.761598,4.94004,68.015
0.793331,5.02538,70.7779
0.825065,5.10232,73.3725
0.856798,5.17089,75.7634
0.888531,5.23106,77.9112
0.920265,5.28277,79.7818
0.951998,5.32598,81.3528
0.983731,5.36069,82.6152
1.01546,5.38694,83.5679
1.0472,5.40474,84.2118
1.07893,5.41407,84.5457
1.11066,5.4148,84.5681
1.1424,5.40667,84.2806
1.17413,5.38926,83.69
1.20586,5.36202,82.8059
1.2376,5.32425,81.6335
1.26933,5.27513,80.1665
1.30106,5.21383,78.3864
1.3328,5.13964,76.2731
1.36453,5.05216,73.8237
1.39626,4.95152,71.0682
1.428,4.83846,68.0727
1.45973,4.71448,64.9257
1.49146,4.58174,61.7171
1.5232,4.44305,58.5196
1.55493,4.30173,55.3833
1.58666,4.16155,52.3444
1.6184,4.02665,49.4418
1.65013,3.90134,46.7304
1.68186,3.79,44.2853
1.7136,3.69668,42.1968
1.74533,3.6246,40.5563
1.77706,3.57545,39.4291
1.8088,3.54884,38.8199
1.84053,3.54221,38.6572
1.87226,3.55131,38.8202
1.904,3.57107,39.1809
1.93573,3.59644,39.6326
1.96746,3.62299,40.0968
1.9992,3.64721,40.518
2.03093,3.66674,40.8574
2.06266,3.68027,41.0882
2.0944,3.68746,41.1935
2.12613,3.6887,41.1647
2.15786,3.68479,40.9988
2.18959,3.67676,40.6963
2.22133,3.66557,40.262
2.25306,3.65205,39.7057
2.28479,3.63677,39.0454
2.31653,3.62001,38.3071
2.34826,3.60181,37.523
2.37999,3.58189,36.7245
2.41173,3.55972,35.934
2.44346,3.53446,35.1575
2.47519,3.50508,34.3823
2.50693,3.47035,33.5795
2.53866,3.42891,32.7103
2.57039,3.37924,31.7331
2.60213,3.3197,30.6087
2.63386,3.24854,29.3055
2.66559,3.16396,27.802
2.69733,3.06428,26.0885
2.72906,2.94799,24.168
2.76079,2.81395,22.0564
2.79253,2.66146,19.782
2.82426,2.49025,17.3839
2.85599,2.30059,14.9105
2.88773,2.0932,12.4184
2.91946,1.86927,9.97167
2.95119,1.63037,7.64095
2.98293,1.37844,5.50093
3.01466,1.11561,3.62651
3.04639,0.844117,2.08745
3.07813,0.566224,0.943082
3.10986,0.284137,0.238087
3.14159,6.92283e-14,5.32907e-15
