Theta,Radius,Area
0,8.57966e-15,0
0.0317333,0.297648,0.251088
0.0634665,0.595321,1.0058
0.0951998,0.892905,2.26674
0.126933,1.19011,4.03298
0.158666,1.48637,6.29408
0.1904,1.78073,9.02482
0.222133,2.07184,12.1829
0.253866,2.35801,15.7106
0.285599,2.63731,19.5397
0.317333,2.90775,23.5988
0.349066,3.16746,27.819
0.380799,3.41476,32.1361
0.412532,3.64827,36.49
0.444266,3.86691,40.822
0.475999,4.07001,45.0747
0.507732,4.2573,49.1958
0.539465,4.42898,53.144
0.571199,4.58565,56.8936
0.602932,4.72829,60.4341
0.634665,4.85805,63.7656
0.666398,4.97612,66.8913
0.698132,5.08358,69.8134
0.729865,5.18132,72.5323
0.761598,5.27002,75.0495
0.793331,5.35021,77.3714
0.825065,5.42225,79.51
0.856798,5.48645,81.4827
0.888531,5.54306,83.3101
0.920265,5.59235,85.014
0.951998,5.63455,86.613
0.983731,5.66985,88.1166
1.01546,5.69825,89.5169
1.0472,5.71946,90.7807
1.07893,5.73282,91.8454
1.11066,5.73722,92.6217
1.1424,5.73116,93.0049
1.17413,5.71285,92.8912
1.20586,5.68041,92.1958
1.2376,5.63207,90.8669
1.26933,5.56632,88.893
1.30106,5.48221,86.3041
1.3328,5.37955,83.1686
1.36453,5.25909,79.5885
1.39626,5.1227,75.6913
1.428,4.97339,71.6203
1.45973,4.81517,67.521
1.49146,4.65276,63.5285
1.5232,4.49123,59.7551
1.55493,4.33559,56.2817
1.58666,4.19043,53.1554
1.6184,4.05971,50.3985
1.65013,3.94661,48.0216
1.68186,3.85343,46.0347
1.7136,3.78145,44.4508
1.74533,3.73077,43.279
1.77706,3.70011,42.505
1.8088,3.68699,42.078
1.84053,3.68816,41.9245
1.87226,3.70019,41.9745
1.904,3.72011,42.1775
1.93573,3.74563,42.5038
1.96746,3.77528,42.9385
1.9992,3.80818,43.4724
2.03093,3.84374,44.0935
2.06266,3.88135,44.7819
2.0944,3.92005,45.5049
2.12613,3.95835,46.2151
2.15786,3.9942,46.8515
2.18959,4.02512,47.343
2.22133,4.04847,47.6179
2.25306,4.06182,47.6169
2.28479,4.06331,47.306
2.31653,4.05205,46.6857
2.34826,4.02818,45.7937
2.37999,3.99291,44.7004
2.41173,3.94828,43.4972
2.44346,3.89672,42.2798
2.47519,3.84056,41.1241
2.50693,3.78155,40.0589
2.53866,3.72034,39.0533
2.57039,3.6563,38.0318
2.60213,3.58745,36.9063
2.63386,3.51073,35.5977
2.66559,3.42235,34.0416
2.69733,3.31836,32.1885
2.72906,3.19517,30.007
2.76079,3.05007,27.4899
2.79253,2.88163,24.6622
2.82426,2.68986,21.5843
2.85599,2.47611,18.3502
2.88773,2.24279,15.0776
2.91946,1.99289,11.8956
2.95119,1.72953,8.92943
2.98293,1.45559,6.28815
3.01466,1.17351,4.05605
3.04639,0.885285,2.28927
3.07813,0.592616,1.01819
3.10986,0.297025,0.254465
3.14159,4.34323e-14,1.7053e-13
