Theta,Radius,Area
0,1.26546e-14,0
0.0317333,0.286854,0.241715
0.0634665,0.572717,0.962613
0.0951998,0.856596,2.15002
0.126933,1.13767,3.78319
0.158666,1.41529,5.83409
0.1904,1.68892,8.26877
0.222133,1.95804,11.0488
0.253866,2.222,14.1325
0.285599,2.47995,17.4751
0.317333,2.73085,21.0299
0.349066,2.97349,24.7497
0.380799,3.20666,28.5888
0.412532,3.42923,32.5055
0.444266,3.64026,36.4629
0.475999,3.83903,40.429
0.507732,4.02507,44.3753
0.539465,4.19818,48.2749
0.571199,4.35837,52.1009
0.602932,4.50585,55.8253
0.634665,4.64099,59.4184
0.666398,4.76422,62.8477
0.698132,4.87599,66.078
0.729865,4.97672,69.0713
0.761598,5.06681,71.7906
0.793331,5.14664,74.2065
0.825065,5.21671,76.3047
0.856798,5.27764,78.0922
0.888531,5.33024,79.5972
0.920265,5.37544,80.8651
0.951998,5.41423,81.9496
0.983731,5.4475,82.9036
1.01546,5.47592,83.7707
1.0472,5.49977,84.5772
1.07893,5.51889,85.3257
1.11066,5.53255,85.9888
1.1424,5.5395,86.5068
1.17413,5.53796,86.7931
1.20586,5.52579,86.7468
1.2376,5.50066,86.2714
1.26933,5.46029,85.2925
1.30106,5.40275,83.7685
1.3328,5.32673,81.6938
1.36453,5.2318,79.0959
1.39626,5.11858,76.0306
1.428,4.9889,72.5799
1.45973,4.84578,68.8505
1.49146,4.69325,64.9694
1.5232,4.5361,61.0739
1.55493,4.37947,57.2965
1.58666,4.22841,53.7501
1.6184,4.08749,50.5175
1.65013,3.96052,47.6504
1.68186,3.85044,45.1788
1.7136,3.7592,43.1246
1.74533,3.68778,41.5048
1.77706,3.6362,40.3253
1.8088,3.60358,39.5693
1.84053,3.58833,39.1942
1.87226,3.58842,39.139
1.904,3.6017,39.3374
1.93573,3.62614,39.73
1.96746,3.65994,40.2704
1.9992,3.70148,40.9288
2.03093,3.74922,41.6885
2.06266,3.80152,42.5384
2.0944,3.85662,43.4607
2.12613,3.9126,44.4203
2.15786,3.96745,45.3613
2.18959,4.01926,46.2117
2.22133,4.06626,46.8974
2.25306,4.10696,47.3606
2.28479,4.1402,47.5766
2.31653,4.16515,47.5622
2.34826,4.18127,47.3666
2.37999,4.18829,47.0489
2.41173,4.18603,46.6498
2.44346,4.17431,46.1754
2.47519,4.15274,45.5969
2.50693,4.12064,44.863
2.53866,4.07689,43.9165
2.57039,4.01991,42.7077
2.60213,3.94767,41.2004
2.63386,3.85783,39.3694
2.66559,3.74794,37.1955
2.69733,3.61576,34.6671
2.72906,3.45956,31.7878
2.76079,3.27848,28.5899
2.79253,3.07275,25.143
2.82426,2.84381,21.5524
2.85599,2.59426,17.9458
2.88773,2.3276,14.4554
2.91946,2.04793,11.2011
2.95119,1.75944,8.27886
2.98293,1.46601,5.75726
3.01466,1.17079,3.67834
3.04639,0.875946,2.06217
3.07813,0.582574,0.913252
3.10986,0.290796,0.227707
3.14159,4.63006e-14,1.72429e-13
