Theta,Radius,Area
0,5.726e-15,0
0.0317333,0.280382,0.229856
0.0634665,0.560785,0.916753
0.0951998,0.841007,2.05194
0.126933,1.12055,3.61897
0.158666,1.39854,5.59264
0.1904,1.67367,7.93936
0.222133,1.94429,10.6191
0.253866,2.20849,13.5879
0.285599,2.46432,16.8013
0.317333,2.71003,20.2153
0.349066,2.94433,23.7884
0.380799,3.1665,27.4809
0.412532,3.37642,31.2544
0.444266,3.57449,35.0708
0.475999,3.76143,38.8926
0.507732,3.93797,42.6837
0.539465,4.10468,46.4118
0.571199,4.26179,50.0494
0.602932,4.40912,53.5733
0.634665,4.54623,56.9639
0.666398,4.67257,60.2039
0.698132,4.78771,63.2782
0.729865,4.89156,66.1747
0.761598,4.98444,68.885
0.793331,5.06714,71.4041
0.825065,5.14075,73.7293
0.856798,5.2065,75.8583
0.888531,5.26554,77.7869
0.920265,5.31871,79.5093
0.951998,5.36642,81.02
0.983731,5.40862,82.3185
1.01546,5.44478,83.4112
1.0472,5.47402,84.3095
1.07893,5.49528,85.0214
1.11066,5.50745,85.5414
1.1424,5.50955,85.847
1.17413,5.50077,85.9023
1.20586,5.48048,85.6638
1.2376,5.44815,85.0845
1.26933,5.40318,84.1166
1.30106,5.34486,82.7142
1.3328,5.27231,80.8395
1.36453,5.18464,78.471
1.39626,5.08115,75.6134
1.428,4.96172,72.3064
1.45973,4.82717,68.63
1.49146,4.67949,64.704
1.5232,4.52207,60.6792
1.55493,4.35951,56.7201
1.58666,4.19737,52.9819
1.6184,4.04171,49.5911
1.65013,3.89854,46.6378
1.68186,3.77335,44.1787
1.7136,3.67065,42.2369
1.74533,3.59349,40.8072
1.77706,3.5431,39.8721
1.8088,3.51854,39.3959
1.84053,3.51674,39.3082
1.87226,3.5328,39.5023
1.904,3.56079,39.858
1.93573,3.59467,40.2664
1.96746,3.6293,40.6448
1.9992,3.66113,40.9383
2.03093,3.68855,41.1211
2.06266,3.71181,41.2018
2.0944,3.73257,41.2253
2.12613,3.75317,41.262
2.15786,3.77583,41.381
2.18959,3.80193,41.6206
2.22133,3.83152,41.9707
2.25306,3.86316,42.3762
2.28479,3.89416,42.756
2.31653,3.92109,43.0262
2.34826,3.94045,43.1188
2.37999,3.94929,42.9927
2.41173,3.94571,42.6353
2.44346,3.92905,42.0525
2.47519,3.89984,41.2557
2.50693,3.85946,40.2528
2.53866,3.80956,39.0486
2.57039,3.75155,37.65
2.60213,3.68603,36.0685
2.63386,3.61243,34.3179
2.66559,3.52884,32.4087
2.69733,3.43218,30.3439
2.72906,3.31862,28.1174
2.76079,3.18422,25.7186
2.79253,3.02571,23.1421
2.82426,2.84112,20.4
2.85599,2.63022,17.5315
2.88773,2.39448,14.6043
2.91946,2.13677,11.7091
2.95119,1.86073,8.9471
2.98293,1.57014,6.41956
3.01466,1.26839,4.21843
3.04639,0.95829,2.42185
3.07813,0.642168,1.09223
3.10986,0.322072,0.275478
3.14159,2.99663e-14,1.45463e-13
