Theta,Radius,Area
0,6.35839e-15,0
0.0317333,0.293235,0.244707
0.0634665,0.585015,0.973884
0.0951998,0.873977,2.17293
0.126933,1.15899,3.81847
0.158666,1.43919,5.88001
0.1904,1.71396,8.32216
0.222133,1.98285,11.1064
0.253866,2.24543,14.1915
0.285599,2.50113,17.5336
0.317333,2.74921,21.0861
0.349066,2.98863,24.8009
0.380799,3.21819,28.6321
0.412532,3.43658,32.5384
0.444266,3.64259,36.4832
0.475999,3.83521,40.4311
0.507732,4.01381,44.3435
0.539465,4.17818,48.1766
0.571199,4.3286,51.8835
0.602932,4.46576,55.4192
0.634665,4.59068,58.7468
0.666398,4.7046,61.8423
0.698132,4.80882,64.6968
0.729865,4.90451,67.3159
0.761598,4.99261,69.7159
0.793331,5.07371,71.9181
0.825065,5.14806,73.9445
0.856798,5.2156,75.8134
0.888531,5.27605,77.5386
0.920265,5.32911,79.1288
0.951998,5.37449,80.5877
0.983731,5.41208,81.9125
1.01546,5.44184,83.0926
1.0472,5.46379,84.1073
1.07893,5.47786,84.9261
1.11066,5.48375,85.5104
1.1424,5.48081,85.8153
1.17413,5.46799,85.791
1.20586,5.44381,85.3845
1.2376,5.40645,84.5412
1.26933,5.354,83.2095
1.30106,5.28469,81.3486
1.3328,5.19727,78.9402
1.36453,5.09139,75.9997
1.39626,4.96779,72.5852
1.428,4.82855,68.7991
1.45973,4.67702,64.7831
1.49146,4.51765,60.7057
1.5232,4.35575,56.7454
1.55493,4.19706,53.0687
1.58666,4.04734,49.8021
1.6184,3.91195,47.0081
1.65013,3.79541,44.6922
1.68186,3.70095,42.8356
1.7136,3.6302,41.4141
1.74533,3.58306,40.3955
1.77706,3.55778,39.7348
1.8088,3.55132,39.3801
1.84053,3.55983,39.2796
1.87226,3.57916,39.3843
1.904,3.60528,39.6454
1.93573,3.63461,40.0116
1.96746,3.66417,40.4288
1.9992,3.69164,40.8445
2.03093,3.71528,41.2129
2.06266,3.73387,41.4994
2.0944,3.74651,41.6802
2.12613,3.75253,41.7383
2.15786,3.75135,41.6564
2.18959,3.7425,41.4122
2.22133,3.72564,40.9802
2.25306,3.70073,40.3416
2.28479,3.66815,39.4966
2.31653,3.62883,38.4733
2.34826,3.58419,37.329
2.37999,3.53607,36.1419
2.41173,3.48638,34.9962
2.44346,3.43683,33.962
2.47519,3.38856,33.076
2.50693,3.34176,32.3283
2.53866,3.29558,31.6645
2.57039,3.24809,31.0014
2.60213,3.19647,30.2488
2.63386,3.13737,29.3259
2.66559,3.06734,28.1713
2.69733,2.98324,26.7492
2.72906,2.8826,25.0505
2.76079,2.76376,23.0911
2.79253,2.62592,20.9053
2.82426,2.46893,18.5378
2.85599,2.29305,16.0397
2.88773,2.09875,13.4696
2.91946,1.88656,10.8969
2.95119,1.65712,8.40414
2.98293,1.41125,6.08314
3.01466,1.15019,4.02805
3.04639,0.875707,2.32674
3.07813,0.590291,1.05396
3.10986,0.297131,0.266524
3.14159,5.30746e-14,8.52651e-14
