Theta,Radius,Area
0,1.32037e-14,0
0.0317333,0.292411,0.238345
0.0634665,0.584703,0.95374
0.0951998,0.876404,2.14489
0.126933,1.1665,3.80286
0.158666,1.45341,5.90445
0.1904,1.73508,8.40834
0.222133,2.00928,11.2563
0.253866,2.27392,14.3792
0.285599,2.52733,17.7062
0.317333,2.76844,21.1728
0.349066,2.99687,24.7271
0.380799,3.21283,28.3321
0.412532,3.417,31.9649
0.444266,3.61032,35.6155
0.475999,3.79374,39.2828
0.507732,3.96804,42.9709
0.539465,4.13367,46.6829
0.571199,4.29063,50.4141
0.602932,4.43847,54.1465
0.634665,4.57642,57.8452
0.666398,4.70357,61.4587
0.698132,4.8191,64.9245
0.729865,4.92253,68.1775
0.761598,5.01386,71.1598
0.793331,5.09366,73.8289
0.825065,5.16295,76.1624
0.856798,5.22311,78.1591
0.888531,5.2756,79.8364
0.920265,5.32175,81.2252
0.951998,5.36249,82.3638
0.983731,5.39822,83.2895
1.01546,5.42866,84.0304
1.0472,5.45293,84.5981
1.07893,5.4697,84.9845
1.11066,5.47744,85.1632
1.1424,5.47474,85.0969
1.17413,5.46054,84.7482
1.20586,5.43431,84.0899
1.2376,5.39605,83.113
1.26933,5.34614,81.8264
1.30106,5.28517,80.2502
1.3328,5.21367,78.4067
1.36453,5.13201,76.3119
1.39626,5.04024,73.9734
1.428,4.9382,71.3926
1.45973,4.82568,68.57
1.49146,4.70269,65.5114
1.5232,4.56981,62.2358
1.55493,4.42863,58.7855
1.58666,4.28198,55.2363
1.6184,4.13411,51.7026
1.65013,3.99057,48.3372
1.68186,3.85774,45.3223
1.7136,3.74211,42.8441
1.74533,3.64925,41.026
1.77706,3.58285,39.8645
1.8088,3.54407,39.2763
1.84053,3.53161,39.1629
1.87226,3.54221,39.4213
1.904,3.57145,39.944
1.93573,3.61429,40.6282
1.96746,3.66548,41.3881
1.9992,3.71987,42.1576
2.03093,3.77277,42.8835
2.06266,3.82035,43.5124
2.0944,3.85999,43.9881
2.12613,3.89046,44.2638
2.15786,3.91194,44.3225
2.18959,3.92571,44.1868
2.22133,3.93376,43.9133
2.25306,3.93822,43.5773
2.28479,3.94098,43.2544
2.31653,3.94323,42.9992
2.34826,3.94528,42.8265
2.37999,3.94648,42.7037
2.41173,3.94529,42.5631
2.44346,3.93949,42.3228
2.47519,3.92644,41.9034
2.50693,3.90336,41.2395
2.53866,3.86757,40.289
2.57039,3.81666,39.0389
2.60213,3.74858,37.5
2.63386,3.66166,35.693
2.66559,3.55462,33.6335
2.69733,3.42655,31.3275
2.72906,3.27701,28.7779
2.76079,3.10608,25.9979
2.79253,2.91448,23.0231
2.82426,2.70357,19.9164
2.85599,2.47533,16.7653
2.88773,2.23219,13.6715
2.91946,1.9767,10.7368
2.95119,1.71129,8.05109
2.98293,1.43799,5.68434
3.01466,1.15837,3.68733
3.04639,0.873634,2.09654
3.07813,0.584853,0.939247
3.10986,0.293189,0.235975
3.14159,6.07682e-14,2.5668e-13
