Theta,Radius,Area
0,1.27013e-14,0
0.0317333,0.28281,0.235223
0.0634665,0.565717,0.938231
0.0951998,0.848686,2.10072
0.126933,1.13143,3.70791
0.158666,1.4133,5.73772
0.1904,1.69325,8.16026
0.222133,1.96981,10.9382
0.253866,2.24123,14.0277
0.285599,2.50558,17.3809
0.317333,2.76096,20.948
0.349066,3.00573,24.6813
0.380799,3.2386,28.5376
0.412532,3.45874,32.4788
0.444266,3.66571,36.4704
0.475999,3.85936,40.4767
0.507732,4.03972,44.4564
0.539465,4.20688,48.3591
0.571199,4.36091,52.1257
0.602932,4.50187,55.6931
0.634665,4.62987,59.0027
0.666398,4.74515,62.0121
0.698132,4.84814,64.7039
0.729865,4.93956,67.0894
0.761598,5.02036,69.2045
0.793331,5.09176,71.0982
0.825065,5.15508,72.8209
0.856798,5.2117,74.4144
0.888531,5.26292,75.908
0.920265,5.30977,77.3195
0.951998,5.35294,78.6563
0.983731,5.39265,79.917
1.01546,5.42854,81.0897
1.0472,5.45969,82.1507
1.07893,5.48458,83.0645
1.11066,5.50121,83.7833
1.1424,5.50723,84.2478
1.17413,5.5001,84.3876
1.20586,5.47737,84.1248
1.2376,5.43685,83.382
1.26933,5.37695,82.0949
1.30106,5.29688,80.226
1.3328,5.19688,77.7782
1.36453,5.07833,74.8018
1.39626,4.94375,71.3928
1.428,4.79672,67.6826
1.45973,4.64168,63.8214
1.49146,4.48364,59.9602
1.5232,4.32784,56.2358
1.55493,4.17936,52.761
1.58666,4.04284,49.6233
1.6184,3.92213,46.8879
1.65013,3.82007,44.602
1.68186,3.73835,42.7946
1.7136,3.67732,41.466
1.74533,3.63603,40.5736
1.77706,3.61229,40.0356
1.8088,3.603,39.7551
1.84053,3.60461,39.6419
1.87226,3.61368,39.6241
1.904,3.62726,39.6528
1.93573,3.64315,39.7035
1.96746,3.66003,39.7716
1.9992,3.67732,39.8665
2.03093,3.69502,40.0036
2.06266,3.71349,40.1985
2.0944,3.73309,40.4624
2.12613,3.75394,40.7966
2.15786,3.77567,41.1871
2.18959,3.79729,41.601
2.22133,3.81718,41.9867
2.25306,3.83328,42.2816
2.28479,3.84336,42.4234
2.31653,3.84532,42.3635
2.34826,3.83757,42.0769
2.37999,3.8192,41.5647
2.41173,3.7901,40.8481
2.44346,3.75085,39.9559
2.47519,3.70252,38.9145
2.50693,3.64634,37.7439
2.53866,3.58334,36.4611
2.57039,3.51395,35.0825
2.60213,3.43775,33.6211
2.63386,3.35332,32.0771
2.66559,3.25836,30.4272
2.69733,3.14999,28.6251
2.72906,3.02524,26.6145
2.76079,2.88161,24.3527
2.79253,2.71752,21.8308
2.82426,2.53262,19.085
2.85599,2.32781,16.1947
2.88773,2.10506,13.2703
2.91946,1.8671,10.4352
2.95119,1.61699,7.80662
2.98293,1.35775,5.48127
3.01466,1.09203,3.52824
3.04639,0.821976,1.98921
3.07813,0.549222,0.884489
3.10986,0.27494,0.221074
3.14159,4.75444e-14,2.71067e-13
