Theta,Radius,Area
0,9.86038e-15,0
0.0317333,0.285787,0.243367
0.0634665,0.571509,0.971725
0.0951998,0.857024,2.17926
0.126933,1.14205,3.85434
0.158666,1.42604,5.97698
0.1904,1.70801,8.51603
0.222133,1.98648,11.4274
0.253866,2.25955,14.6546
0.285599,2.52505,18.1318
0.317333,2.78082,21.7903
0.349066,3.02501,25.5655
0.380799,3.25629,29.4038
0.412532,3.47393,33.2657
0.444266,3.67777,37.1252
0.475999,3.86806,40.9666
0.507732,4.04532,44.778
0.539465,4.21012,48.5473
0.571199,4.36295,52.258
0.602932,4.50416,55.888
0.634665,4.63395,59.4101
0.666398,4.75241,62.793
0.698132,4.85964,66.0036
0.729865,4.95583,69.0088
0.761598,5.04141,71.7791
0.793331,5.11707,74.2918
0.825065,5.18383,76.5357
0.856798,5.24292,78.5139
0.888531,5.29572,80.245
0.920265,5.34356,81.7606
0.951998,5.38755,83.1008
0.983731,5.42835,84.3068
1.01546,5.46607,85.4134
1.0472,5.5001,86.4392
1.07893,5.5291,87.3774
1.11066,5.55112,88.1873
1.1424,5.56373,88.7925
1.17413,5.56432,89.0875
1.20586,5.55034,88.9545
1.2376,5.51961,88.2847
1.26933,5.47055,86.9994
1.30106,5.40238,85.0658
1.3328,5.31518,82.5048
1.36453,5.20993,79.3903
1.39626,5.0885,75.839
1.428,4.95356,71.9937
1.45973,4.80839,68.0033
1.49146,4.65672,64.0039
1.5232,4.50256,60.1069
1.55493,4.34996,56.3964
1.58666,4.20285,52.9347
1.6184,4.06494,49.7736
1.65013,3.9396,46.9661
1.68186,3.82979,44.5757
1.7136,3.73797,42.6705
1.74533,3.66584,41.291
1.77706,3.61411,40.4178
1.8088,3.5822,39.9823
1.84053,3.56829,39.8983
1.87226,3.56959,40.079
1.904,3.58295,40.4449
1.93573,3.60535,40.9302
1.96746,3.63424,41.4901
1.9992,3.66767,42.1044
2.03093,3.70418,42.7719
2.06266,3.74262,43.4876
2.0944,3.7819,44.2135
2.12613,3.82088,44.8732
2.15786,3.85828,45.3819
2.18959,3.89273,45.6812
2.22133,3.92278,45.7558
2.25306,3.947,45.6302
2.28479,3.96406,45.3514
2.31653,3.9728,44.965
2.34826,3.97231,44.4948
2.37999,3.96208,43.9359
2.41173,3.94204,43.2641
2.44346,3.91258,42.4548
2.47519,3.87438,41.4997
2.50693,3.82819,40.4121
2.53866,3.77446,39.2162
2.57039,3.71309,37.9293
2.60213,3.64318,36.547
2.63386,3.563,35.0384
2.66559,3.47014,33.3543
2.69733,3.36184,31.4411
2.72906,3.23532,29.2573
2.76079,3.08821,26.7866
2.79253,2.91897,24.0455
2.82426,2.72706,21.0846
2.85599,2.51311,17.9848
2.88773,2.27883,14.8484
2.91946,2.02675,11.7884
2.95119,1.75988,8.91645
2.98293,1.48132,6.33334
3.01466,1.19396,4.12238
3.04639,0.90029,2.34695
3.07813,0.602342,1.05145
3.10986,0.301778,0.264057
3.14159,2.75139e-14,8.15144e-14
