Theta,Radius,Area
0,1.03959e-14,0
0.0317333,0.27395,0.229577
0.0634665,0.546281,0.910989
0.0951998,0.815557,2.02336
0.126933,1.08078,3.53522
0.158666,1.34142,5.40861
0.1904,1.59732,7.60345
0.222133,1.84846,10.0815
0.253866,2.09473,12.809
0.285599,2.33578,15.7576
0.317333,2.57095,18.903
0.349066,2.79925,22.2218
0.380799,3.01952,25.6871
0.412532,3.23048,29.265
0.444266,3.43088,32.9121
0.475999,3.6196,36.5768
0.507732,3.79575,40.203
0.539465,3.9587,43.7362
0.571199,4.10821,47.1304
0.602932,4.24442,50.3551
0.634665,4.36784,53.398
0.666398,4.47931,56.2647
0.698132,4.57987,58.973
0.729865,4.67063,61.5433
0.761598,4.75265,63.9873
0.793331,4.82679,66.3002
0.825065,4.89367,68.4577
0.856798,4.95366,70.4218
0.888531,5.00687,72.1503
0.920265,5.05327,73.6094
0.951998,5.09275,74.7825
0.983731,5.12518,75.6732
1.01546,5.15045,76.3016
1.0472,5.16849,76.6945
1.07893,5.17927,76.8763
1.11066,5.18275,76.8618
1.1424,5.17889,76.6541
1.17413,5.16756,76.2474
1.20586,5.14849,75.6305
1.2376,5.12118,74.7892
1.26933,5.08487,73.7061
1.30106,5.03854,72.3608
1.3328,4.98104,70.7337
1.36453,4.91124,68.815
1.39626,4.82818,66.6139
1.428,4.73135,64.1623
1.45973,4.62081,61.5085
1.49146,4.49739,58.7072
1.5232,4.36284,55.8083
1.55493,4.21988,52.8526
1.58666,4.07221,49.8761
1.6184,3.9244,46.9216
1.65013,3.78172,44.0555
1.68186,3.64989,41.3834
1.7136,3.53461,39.0504
1.74533,3.44104,37.2042
1.77706,3.373,35.93
1.8088,3.33228,35.2254
1.84053,3.31827,35.0258
1.87226,3.32828,35.2369
1.904,3.35818,35.7574
1.93573,3.40314,36.4932
1.96746,3.45833,37.3651
1.9992,3.51928,38.3096
2.03093,3.58212,39.2749
2.06266,3.64364,40.2112
2.0944,3.70129,41.0644
2.12613,3.75316,41.7785
2.15786,3.79794,42.3056
2.18959,3.83488,42.6154
2.22133,3.86367,42.7024
2.25306,3.88433,42.5877
2.28479,3.89708,42.316
2.31653,3.90218,41.9436
2.34826,3.89984,41.521
2.37999,3.8902,41.0755
2.41173,3.87328,40.6023
2.44346,3.84898,40.0685
2.47519,3.81698,39.4272
2.50693,3.77674,38.6333
2.53866,3.72735,37.6523
2.57039,3.66755,36.4594
2.60213,3.59565,35.0349
2.63386,3.50974,33.3611
2.66559,3.40772,31.4247
2.69733,3.28766,29.2232
2.72906,3.14796,26.772
2.76079,2.98766,24.1079
2.79253,2.80661,21.2883
2.82426,2.60561,18.3845
2.85599,2.38637,15.4754
2.88773,2.15132,12.6405
2.91946,1.90333,9.95521
2.95119,1.64531,7.48874
2.98293,1.37989,5.30169
3.01466,1.10918,3.44518
3.04639,0.834778,1.96033
3.07813,0.557855,0.878272
3.10986,0.279323,0.220609
3.14159,2.55795e-14,1.24804e-13
