file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
ellipsoid_5_7,1,1,up,-28.002704620361328,-0.0057277134619653225,-0.10114684700965881,6.407647131351909,-0.489878526650036,-0.008485475231721823,0.8717494054126346
ellipsoid_5_7,1,2,up,-29.41546630859375,0.0006715495837852359,-0.14290712773799896,6.032920254990586,-0.5335804563862953,-0.007525404230464315,0.8457158298469771
ellipsoid_5_7,1,3,up,-30.865219116210938,0.007197813130915165,-0.1853981763124466,5.580271800375431,-0.5881058305760676,-0.006794293446019818,0.8087554448775001
ellipsoid_5_7,1,4,up,-26.390825271606445,-0.01332155428826809,-0.05969223007559776,6.7635181880657536,-0.44697841344381245,-0.010160868348260275,0.8944870343776156
ellipsoid_5_7,1,5,up,-27.702354431152344,1.4408553838729858,-0.0908084586262703,6.369504397702353,-0.48329734525506324,0.12942145633769633,0.8658370301094993
ellipsoid_5_7,1,6,up,-29.0290470123291,2.948824882507324,-0.12258349359035492,5.631562003141885,-0.5316142884211753,0.30977715804721956,0.7883047384727784
ellipsoid_5_7,1,7,up,-21.96158790588379,-0.03130176663398743,0.012194723822176456,7.215796898356402,-0.3448515900671759,-0.017258134360234757,0.9384985549411062
ellipsoid_5_7,1,8,up,-23.025257110595703,2.572889566421509,-0.008192408829927444,7.069124977655878,-0.37527555763764286,0.21606708810890027,0.9013785382822785
ellipsoid_5_7,1,9,up,-24.137258529663086,5.247984409332275,-0.02170754224061966,6.023750351570234,-0.4156821901404469,0.5400395467172727,0.7318234792499104
ellipsoid_5_7,1,10,up,-15.611053466796875,-0.03164859116077423,0.03251558542251587,7.789959850187372,-0.20512438763873314,-0.01313288088635518,0.9786477982581168
ellipsoid_5_7,1,11,up,-16.385221481323242,3.3673741817474365,0.019798746332526207,7.4957479359881845,-0.23314672170464418,0.2748316527039694,0.9327969601314007
ellipsoid_5_7,1,12,up,-17.296649932861328,6.8368425369262695,0.05039627477526665,6.420287929638137,-0.2889407766957511,0.6750470845540838,0.6788406743835315
