Theta,Radius,Area
0,1.31813e-14,0
0.0317333,0.297212,0.2407
0.0634665,0.591543,0.953794
0.0951998,0.88026,2.11339
0.126933,1.16108,3.67972
0.158666,1.43231,5.60336
0.1904,1.69289,7.82964
0.222133,1.94233,10.303
0.253866,2.18061,12.9705
0.285599,2.40805,15.7857
0.317333,2.62511,18.7107
0.349066,2.83231,21.7177
0.380799,3.03012,24.7886
0.412532,3.21886,27.9131
0.444266,3.39871,31.0843
0.475999,3.56964,34.2949
0.507732,3.73148,37.5333
0.539465,3.88396,40.7815
0.571199,4.02673,44.0146
0.602932,4.1595,47.2018
0.634665,4.282,50.3087
0.666398,4.39408,53.2987
0.698132,4.49564,56.1353
0.729865,4.58662,58.784
0.761598,4.66695,61.2137
0.793331,4.73656,63.3977
0.825065,4.79539,65.3148
0.856798,4.84345,66.9498
0.888531,4.88097,68.2949
0.920265,4.90842,69.3511
0.951998,4.92661,70.1303
0.983731,4.93669,70.6563
1.01546,4.94003,70.9649
1.0472,4.9381,71.1006
1.07893,4.93227,71.1109
1.11066,4.92359,71.0387
1.1424,4.91263,70.9146
1.17413,4.89937,70.7513
1.20586,4.88317,70.5419
1.2376,4.86279,70.2594
1.26933,4.83661,69.8588
1.30106,4.80279,69.2812
1.3328,4.75962,68.4629
1.36453,4.7058,67.3482
1.39626,4.64073,65.9045
1.428,4.56475,64.1352
1.45973,4.47925,62.086
1.49146,4.38661,59.8419
1.5232,4.2901,57.5156
1.55493,4.19358,55.2297
1.58666,4.10124,53.0985
1.6184,4.01731,51.2165
1.65013,3.94574,49.6538
1.68186,3.88996,48.4586
1.7136,3.85248,47.6636
1.74533,3.83448,47.2844
1.77706,3.83551,47.3047
1.8088,3.85344,47.6604
1.84053,3.88476,48.2472
1.87226,3.92517,48.9516
1.904,3.97029,49.6764
1.93573,4.01628,50.3401
1.96746,4.06019,50.87
1.9992,4.10008,51.2158
2.03093,4.13487,51.3706
2.06266,4.16407,51.375
2.0944,4.18755,51.2944
2.12613,4.20534,51.1791
2.15786,4.21747,51.0361
2.18959,4.22407,50.8319
2.22133,4.22533,50.5177
2.25306,4.22164,50.0568
2.28479,4.21351,49.438
2.31653,4.2015,48.6752
2.34826,4.18606,47.7971
2.37999,4.16735,46.8375
2.41173,4.14508,45.8252
2.44346,4.11844,44.7764
2.47519,4.086,43.6871
2.50693,4.04577,42.53
2.53866,3.99523,41.256
2.57039,3.93155,39.8025
2.60213,3.85173,38.1058
2.63386,3.75294,36.1145
2.66559,3.63276,33.8016
2.69733,3.48951,31.1728
2.72906,3.32248,28.2672
2.76079,3.13207,25.1528
2.79253,2.91982,21.9172
2.82426,2.68826,18.6576
2.85599,2.44067,15.4702
2.88773,2.18078,12.4435
2.91946,1.91234,9.65286
2.95119,1.63882,7.1579
2.98293,1.36314,5.00213
3.01466,1.08746,3.2146
3.04639,0.813114,1.81297
3.07813,0.54063,0.807058
3.10986,0.269827,0.20194
3.14159,6.4199e-14,7.95508e-14
