Theta,Radius,Area
0,5.85794e-15,0
0.0317333,0.272323,0.20553
0.0634665,0.543089,0.818034
0.0951998,0.810882,1.82619
0.126933,1.07464,3.21349
0.158666,1.33366,4.95988
0.1904,1.58751,7.04183
0.222133,1.83587,9.43082
0.253866,2.07834,12.0918
0.285599,2.31435,14.9831
0.317333,2.54317,18.0585
0.349066,2.76393,21.2721
0.380799,2.97571,24.5829
0.412532,3.17763,27.9576
0.444266,3.36889,31.3701
0.475999,3.54882,34.796
0.507732,3.71695,38.2078
0.539465,3.87303,41.5709
0.571199,4.0171,44.8458
0.602932,4.14947,47.9929
0.634665,4.27071,50.9781
0.666398,4.3815,53.7772
0.698132,4.4825,56.3774
0.729865,4.5742,58.7758
0.761598,4.65681,60.9765
0.793331,4.73019,62.9852
0.825065,4.79399,64.8038
0.856798,4.84771,66.4274
0.888531,4.89096,67.8452
0.920265,4.92363,69.0454
0.951998,4.94608,70.0224
0.983731,4.9592,70.783
1.01546,4.96433,71.3475
1.0472,4.96307,71.7466
1.07893,4.95698,72.0121
1.11066,4.94729,72.1678
1.1424,4.93459,72.2214
1.17413,4.91871,72.1597
1.20586,4.89862,71.9471
1.2376,4.87259,71.5279
1.26933,4.83843,70.8316
1.30106,4.79377,69.7845
1.3328,4.73659,68.3263
1.36453,4.66561,66.4291
1.39626,4.58079,64.1167
1.428,4.4836,61.4748
1.45973,4.3771,58.6493
1.49146,4.26576,55.8269
1.5232,4.15501,53.1976
1.55493,4.05058,50.9054
1.58666,3.95793,49.0199
1.6184,3.88162,47.5529
1.65013,3.82507,46.4918
1.68186,3.79037,45.8145
1.7136,3.77817,45.494
1.74533,3.78755,45.5022
1.77706,3.81604,45.8085
1.8088,3.85978,46.3688
1.84053,3.91408,47.1202
1.87226,3.97404,47.9893
1.904,4.03524,48.907
1.93573,4.09409,49.8114
1.96746,4.14805,50.6411
1.9992,4.19559,51.3308
2.03093,4.23605,51.8193
2.06266,4.26937,52.0653
2.0944,4.2959,52.0637
2.12613,4.31617,51.8527
2.15786,4.33071,51.5074
2.18959,4.33983,51.1167
2.22133,4.34349,50.7499
2.25306,4.34133,50.4252
2.28479,4.33269,50.1019
2.31653,4.31679,49.704
2.34826,4.29292,49.1573
2.37999,4.26054,48.4155
2.41173,4.21928,47.4638
2.44346,4.1688,46.3086
2.47519,4.1087,44.9632
2.50693,4.0383,43.4367
2.53866,3.95663,41.7289
2.57039,3.86239,39.8307
2.60213,3.75412,37.7283
2.63386,3.63033,35.4076
2.66559,3.48969,32.8597
2.69733,3.33132,30.0869
2.72906,3.15491,27.1103
2.76079,2.96094,23.9753
2.79253,2.75065,20.7523
2.82426,2.52599,17.5318
2.85599,2.28947,14.412
2.88773,2.04385,11.4855
2.91946,1.7919,8.82752
2.95119,1.53613,6.49005
2.98293,1.27865,4.50249
3.01466,1.021,2.87709
3.04639,0.764143,1.61603
3.07813,0.508485,0.71751
3.10986,0.253926,0.179277
3.14159,3.77987e-14,8.52651e-14
