Theta,Radius,Area
0,1.46095e-14,0
0.0317333,0.284543,0.224655
0.0634665,0.569029,0.899774
0.0951998,0.853097,2.02679
0.126933,1.13602,3.6022
0.158666,1.4166,5.61133
0.1904,1.69321,8.02367
0.222133,1.96381,10.7917
0.253866,2.22619,13.8538
0.285599,2.4782,17.14
0.317333,2.71796,20.5793
0.349066,2.94414,24.1061
0.380799,3.15608,27.6662
0.412532,3.35383,31.2199
0.444266,3.53808,34.7444
0.475999,3.70995,38.2323
0.507732,3.87075,41.6879
0.539465,4.0217,45.1204
0.571199,4.16372,48.5353
0.602932,4.29724,51.9262
0.634665,4.42217,55.2707
0.666398,4.53797,58.5288
0.698132,4.64377,61.6477
0.729865,4.73862,64.5678
0.761598,4.82169,67.2304
0.793331,4.89246,69.5847
0.825065,4.95091,71.5937
0.856798,4.99753,73.2395
0.888531,5.03338,74.526
0.920265,5.05994,75.4814
0.951998,5.07904,76.1558
0.983731,5.09258,76.6154
1.01546,5.10235,76.9328
1.0472,5.10975,77.1744
1.07893,5.11565,77.3886
1.11066,5.12025,77.5988
1.1424,5.12309,77.8022
1.17413,5.1231,77.9743
1.20586,5.11871,78.0749
1.2376,5.10803,78.0507
1.26933,5.08896,77.8366
1.30106,5.05946,77.3566
1.3328,5.01776,76.5322
1.36453,4.96261,75.2962
1.39626,4.89358,73.6115
1.428,4.81124,71.4867
1.45973,4.71727,68.9842
1.49146,4.61446,66.2181
1.5232,4.50665,63.3413
1.55493,4.3985,60.5257
1.58666,4.29528,57.9402
1.6184,4.20252,55.7305
1.65013,4.12554,54.0053
1.68186,4.06876,52.8288
1.7136,4.03504,52.22
1.74533,4.02502,52.1529
1.77706,4.03712,52.5521
1.8088,4.06788,53.2975
1.84053,4.11267,54.2451
1.87226,4.16652,55.2609
1.904,4.2247,56.2482
1.93573,4.28318,57.1528
1.96746,4.33879,57.9397
1.9992,4.3893,58.569
2.03093,4.43338,59.0002
2.06266,4.47045,59.2157
2.0944,4.50063,59.2322
2.12613,4.52445,59.0941
2.15786,4.54269,58.8537
2.18959,4.55608,58.5489
2.22133,4.56508,58.1914
2.25306,4.56974,57.769
2.28479,4.56972,57.2595
2.31653,4.56429,56.6441
2.34826,4.55256,55.9134
2.37999,4.53348,55.0638
2.41173,4.50596,54.0884
2.44346,4.4689,52.9694
2.47519,4.42111,51.6774
2.50693,4.36134,50.1763
2.53866,4.28822,48.4309
2.57039,4.20026,46.4131
2.60213,4.09579,44.1034
2.63386,3.97313,41.4909
2.66559,3.83065,38.5741
2.69733,3.66707,35.366
2.72906,3.48166,31.9027
2.76079,3.27459,28.2481
2.79253,3.04701,24.4933
2.82426,2.80109,20.7464
2.85599,2.53985,17.118
2.88773,2.26685,13.7071
2.91946,1.98581,10.5925
2.95119,1.70025,7.83082
2.98293,1.41311,5.45953
3.01466,1.12658,3.50205
3.04639,0.841951,1.9721
3.07813,0.559632,0.876833
3.10986,0.279281,0.21922
3.14159,2.4254e-14,7.81597e-14
