Theta,Radius,Area
0,9.21151e-15,0
0.0317333,0.323566,0.280932
0.0634665,0.642444,1.1108
0.0951998,0.952259,2.45185
0.126933,1.24958,4.24475
0.158666,1.53219,6.41461
0.1904,1.79919,8.87989
0.222133,2.0509,11.5631
0.253866,2.28858,14.401
0.285599,2.51403,17.352
0.317333,2.72917,20.3971
0.349066,2.9356,23.5352
0.380799,3.1343,26.7729
0.412532,3.32545,30.1112
0.444266,3.50844,33.5338
0.475999,3.68216,37.0024
0.507732,3.84531,40.4607
0.539465,3.9968,43.8473
0.571199,4.13607,47.1117
0.602932,4.26331,50.2266
0.634665,4.37934,53.1913
0.666398,4.4855,56.0274
0.698132,4.58324,58.7652
0.729865,4.67378,61.4274
0.761598,4.7578,64.0149
0.793331,4.83527,66.4982
0.825065,4.90543,68.819
0.856798,4.96695,70.9009
0.888531,5.0183,72.6672
0.920265,5.05817,74.0596
0.951998,5.08584,75.0532
0.983731,5.1015,75.6641
1.01546,5.10637,75.9473
1.0472,5.10252,75.9877
1.07893,5.09257,75.8842
1.11066,5.07913,75.7317
1.1424,5.06427,75.6027
1.17413,5.04902,75.5318
1.20586,5.03308,75.5048
1.2376,5.01479,75.4544
1.26933,4.9913,75.2658
1.30106,4.95911,74.7951
1.3328,4.91469,73.9004
1.36453,4.85525,72.4788
1.39626,4.77938,70.4974
1.428,4.6875,68.0089
1.45973,4.58205,65.146
1.49146,4.46725,62.097
1.5232,4.34867,59.0703
1.55493,4.23253,56.2575
1.58666,4.125,53.8031
1.6184,4.03165,51.793
1.65013,3.95701,50.2633
1.68186,3.90417,49.2194
1.7136,3.87459,48.643
1.74533,3.86781,48.4841
1.77706,3.88144,48.6557
1.8088,3.91153,49.0437
1.84053,3.95326,49.5307
1.87226,4.00178,50.0264
1.904,4.05296,50.4931
1.93573,4.10378,50.9482
1.96746,4.15238,51.4363
1.9992,4.19781,51.99
2.03093,4.23967,52.6019
2.06266,4.27769,53.221
2.0944,4.3115,53.7688
2.12613,4.34046,54.1627
2.15786,4.36372,54.3371
2.18959,4.38031,54.2522
2.22133,4.38935,53.8965
2.25306,4.39022,53.2837
2.28479,4.38271,52.4494
2.31653,4.36717,51.4449
2.34826,4.34446,50.3285
2.37999,4.31573,49.1555
2.41173,4.2822,47.9669
2.44346,4.24479,46.7826
2.47519,4.20386,45.5991
2.50693,4.15899,44.3935
2.53866,4.10887,43.1295
2.57039,4.0514,41.763
2.60213,3.98373,40.2452
2.63386,3.9025,38.5238
2.66559,3.80412,36.5459
2.69733,3.68515,34.2657
2.72906,3.54274,31.656
2.76079,3.37497,28.7214
2.79253,3.18121,25.5063
2.82426,2.96214,22.0944
2.85599,2.7197,18.5991
2.88773,2.4568,15.1475
2.91946,2.1769,11.8645
2.95119,1.88368,8.85962
2.98293,1.58058,6.2196
3.01466,1.27057,4.0069
3.04639,0.956014,2.26181
3.07813,0.638655,1.00677
3.10986,0.319704,0.25181
3.14159,4.88647e-14,2.33051e-13
