Theta,Radius,Area
0,7.65652e-15,0
0.0317333,0.295878,0.242208
0.0634665,0.588994,0.959275
0.0951998,0.876758,2.12353
0.126933,1.1571,3.69238
0.158666,1.42862,5.61371
0.1904,1.69059,7.83294
0.222133,1.94285,10.3
0.253866,2.18558,12.974
0.285599,2.41905,15.8245
0.317333,2.64342,18.8282
0.349066,2.85853,21.9642
0.380799,3.06395,25.2087
0.412532,3.25898,28.5322
0.444266,3.44287,31.899
0.475999,3.61496,35.2695
0.507732,3.77486,38.6042
0.539465,3.92257,41.8684
0.571199,4.0585,45.0357
0.602932,4.18345,48.0903
0.634665,4.29849,51.0264
0.666398,4.40472,53.8466
0.698132,4.50312,56.5574
0.729865,4.59428,59.1629
0.761598,4.6783,61.6583
0.793331,4.7547,64.0233
0.825065,4.82251,66.2197
0.856798,4.88051,68.194
0.888531,4.92751,69.8865
0.920265,4.96273,71.2447
0.951998,4.98606,72.2362
0.983731,4.99822,72.8592
1.01546,5.00073,73.1455
1.0472,4.99572,73.157
1.07893,4.98557,72.9753
1.11066,4.97251,72.687
1.1424,4.95816,72.3661
1.17413,4.94323,72.0597
1.20586,4.92731,71.7786
1.2376,4.90886,71.4943
1.26933,4.88536,71.1389
1.30106,4.85377,70.611
1.3328,4.81101,69.7924
1.36453,4.75463,68.5755
1.39626,4.68332,66.896
1.428,4.59736,64.7564
1.45973,4.49871,62.2339
1.49146,4.39095,59.4698
1.5232,4.27888,56.6441
1.55493,4.16805,53.9442
1.58666,4.06426,51.5328
1.6184,3.97301,49.5247
1.65013,3.8991,47.9804
1.68186,3.84614,46.9176
1.7136,3.81613,46.3279
1.74533,3.80917,46.1813
1.77706,3.82337,46.421
1.8088,3.8552,46.965
1.84053,3.90015,47.7174
1.87226,3.95342,48.5819
1.904,4.01062,49.4709
1.93573,4.06806,50.3093
1.96746,4.1229,51.038
1.9992,4.17307,51.6172
2.03093,4.2171,52.0285
2.06266,4.25399,52.2728
2.0944,4.2831,52.3617
2.12613,4.30414,52.3047
2.15786,4.31713,52.0999
2.18959,4.32234,51.7366
2.22133,4.32037,51.2079
2.25306,4.31203,50.525
2.28479,4.29827,49.7213
2.31653,4.28006,48.8442
2.34826,4.25822,47.9405
2.37999,4.23314,47.0406
2.41173,4.20462,46.1479
2.44346,4.17175,45.2373
2.47519,4.13287,44.26
2.50693,4.08572,43.1536
2.53866,4.02765,41.8532
2.57039,3.95589,40.3006
2.60213,3.86778,38.4518
2.63386,3.76109,36.2839
2.66559,3.63419,33.8002
2.69733,3.48624,31.0332
2.72906,3.31735,28.0436
2.76079,3.12849,24.9131
2.79253,2.92142,21.7327
2.82426,2.69835,18.5892
2.85599,2.46167,15.5542
2.88773,2.21365,12.6812
2.91946,1.95621,10.0093
2.95119,1.69094,7.57138
2.98293,1.41913,5.40204
3.01466,1.1419,3.54086
3.04639,0.860305,2.03137
3.07813,0.575409,0.91618
3.10986,0.28828,0.231126
3.14159,1.12473e-14,7.47179e-14
