Theta,Radius,Area
0,9.80271e-15,0
0.0317333,0.323459,0.292483
0.0634665,0.643805,1.15839
0.0951998,0.958072,2.56408
0.126933,1.26378,4.45703
0.158666,1.55906,6.77114
0.1904,1.84269,9.43395
0.222133,2.114,12.3743
0.253866,2.37271,15.5288
0.285599,2.61878,18.8457
0.317333,2.85221,22.2852
0.349066,3.07301,25.8174
0.380799,3.28118,29.4191
0.412532,3.47676,33.071
0.444266,3.65987,36.7556
0.475999,3.83077,40.4558
0.507732,3.98987,44.1526
0.539465,4.13772,47.8225
0.571199,4.27497,51.4359
0.602932,4.40226,54.9574
0.634665,4.52014,58.3488
0.666398,4.62905,61.5722
0.698132,4.72915,64.5932
0.729865,4.82039,67.3818
0.761598,4.90247,69.9128
0.793331,4.97495,72.1649
0.825065,5.03732,74.1212
0.856798,5.08921,75.7707
0.888531,5.13051,77.1108
0.920265,5.16151,78.1517
0.951998,5.18298,78.9192
0.983731,5.19619,79.455
1.01546,5.20278,79.8129
1.0472,5.20458,80.0527
1.07893,5.20333,80.2326
1.11066,5.20032,80.4012
1.1424,5.19618,80.5891
1.17413,5.1906,80.7989
1.20586,5.18227,80.9947
1.2376,5.16904,81.0964
1.26933,5.14814,80.9829
1.30106,5.11665,80.5111
1.3328,5.07198,79.5471
1.36453,5.01242,78.0041
1.39626,4.93757,75.8751
1.428,4.84865,73.2486
1.45973,4.74854,70.303
1.49146,4.64156,67.2763
1.5232,4.53304,64.4134
1.55493,4.42862,61.9011
1.58666,4.33362,59.8279
1.6184,4.25244,58.1985
1.65013,4.18829,56.9829
1.68186,4.14315,56.1492
1.7136,4.11786,55.6672
1.74533,4.11215,55.499
1.77706,4.12468,55.5989
1.8088,4.15298,55.9223
1.84053,4.19362,56.4259
1.87226,4.24251,57.0515
1.904,4.29538,57.7181
1.93573,4.34833,58.3429
1.96746,4.39815,58.8714
1.9992,4.44261,59.2839
2.03093,4.48034,59.5785
2.06266,4.51071,59.7556
2.0944,4.53354,59.8079
2.12613,4.54895,59.715
2.15786,4.55718,59.4465
2.18959,4.5586,58.9776
2.22133,4.55372,58.306
2.25306,4.54315,57.4597
2.28479,4.52756,56.4885
2.31653,4.5075,55.4462
2.34826,4.48334,54.372
2.37999,4.4551,53.2804
2.41173,4.42242,52.1617
2.44346,4.38454,50.989
2.47519,4.34028,49.7269
2.50693,4.28809,48.3368
2.53866,4.22609,46.78
2.57039,4.15216,45.0192
2.60213,4.06407,43.0202
2.63386,3.95964,40.7553
2.66559,3.83692,38.208
2.69733,3.69436,35.3782
2.72906,3.53093,32.2868
2.76079,3.34629,28.9775
2.79253,3.14077,25.5144
2.82426,2.91534,21.9775
2.85599,2.67159,18.4562
2.88773,2.41151,15.0422
2.91946,2.13734,11.8234
2.95119,1.85142,8.87928
2.98293,1.55597,6.27831
3.01466,1.25305,4.07667
3.04639,0.944469,2.31886
3.07813,0.631834,1.03885
3.10986,0.316571,0.260965
3.14159,5.56631e-14,2.3123e-13
