Theta,Radius,Area
0,5.68712e-15,0
0.0317333,0.296349,0.233653
0.0634665,0.591354,0.9329
0.0951998,0.883518,2.09144
0.126933,1.17127,3.69533
0.158666,1.45296,5.71929
0.1904,1.72687,8.12375
0.222133,1.99127,10.8543
0.253866,2.24453,13.844
0.285599,2.48523,17.0193
0.317333,2.71236,20.3071
0.349066,2.92539,23.6434
0.380799,3.12433,26.9795
0.412532,3.30979,30.2857
0.444266,3.48278,33.5517
0.475999,3.64462,36.7825
0.507732,3.79671,39.9925
0.539465,3.94038,43.1979
0.571199,4.07666,46.4091
0.602932,4.20623,49.6256
0.634665,4.32932,52.8333
0.666398,4.44576,56.0045
0.698132,4.555,59.1011
0.729865,4.6562,62.0773
0.761598,4.74837,64.8827
0.793331,4.83042,67.4644
0.825065,4.90139,69.7697
0.856798,4.96054,71.7497
0.888531,5.00751,73.3658
0.920265,5.0424,74.5977
0.951998,5.06588,75.4499
0.983731,5.07915,75.9545
1.01546,5.08377,76.1676
1.0472,5.08159,76.1608
1.07893,5.07441,76.008
1.11066,5.06383,75.7726
1.1424,5.05099,75.4984
1.17413,5.03648,75.2062
1.20586,5.0202,74.8946
1.2376,5.00139,74.5428
1.26933,4.97868,74.1141
1.30106,4.95027,73.5587
1.3328,4.91413,72.8197
1.36453,4.86838,71.8411
1.39626,4.81156,70.5801
1.428,4.74298,69.0188
1.45973,4.66297,67.1729
1.49146,4.57302,65.0936
1.5232,4.4758,62.8638
1.55493,4.37511,60.5882
1.58666,4.27566,58.382
1.6184,4.18277,56.3613
1.65013,4.10192,54.6336
1.68186,4.03816,53.2855
1.7136,3.99538,52.3687
1.74533,3.97567,51.8929
1.77706,3.97889,51.8326
1.8088,4.00262,52.1384
1.84053,4.04266,52.7402
1.87226,4.09376,53.5403
1.904,4.15045,54.4157
1.93573,4.20773,55.2407
1.96746,4.26153,55.913
1.9992,4.30893,56.3707
2.03093,4.34818,56.5969
2.06266,4.37861,56.6142
2.0944,4.40044,56.4671
2.12613,4.41444,56.1985
2.15786,4.4217,55.8338
2.18959,4.42334,55.3791
2.22133,4.42038,54.8333
2.25306,4.4136,54.2015
2.28479,4.40356,53.4984
2.31653,4.39052,52.7408
2.34826,4.37446,51.9387
2.37999,4.35503,51.09
2.41173,4.33157,50.1811
2.44346,4.30306,49.1911
2.47519,4.26816,48.0951
2.50693,4.22517,46.8649
2.53866,4.17205,45.4659
2.57039,4.10641,43.8558
2.60213,4.02558,41.9875
2.63386,3.92674,39.8177
2.66559,3.80721,37.32
2.69733,3.66473,34.4951
2.72906,3.49781,31.3761
2.76079,3.30603,28.0263
2.79253,3.09016,24.5314
2.82426,2.85221,20.9889
2.85599,2.5952,17.4979
2.88773,2.32288,14.1515
2.91946,2.03938,11.0332
2.95119,1.74876,8.21504
2.98293,1.45468,5.75671
3.01466,1.16006,3.70424
3.04639,0.86687,2.08914
3.07813,0.575998,0.929331
3.10986,0.287341,0.23235
3.14159,2.41042e-14,8.2662e-14
