Theta,Radius,Area
0,7.86928e-15,0
0.0317333,0.294355,0.241681
0.0634665,0.586465,0.958816
0.0951998,0.874222,2.12881
0.126933,1.15585,3.71738
0.158666,1.42994,5.68244
0.1904,1.69551,7.97808
0.222133,1.95184,10.5579
0.253866,2.19849,13.3774
0.285599,2.43515,16.3953
0.317333,2.66166,19.5734
0.349066,2.8779,22.8751
0.380799,3.08383,26.2643
0.412532,3.27946,29.7053
0.444266,3.4648,33.1642
0.475999,3.63985,36.6107
0.507732,3.80461,40.0193
0.539465,3.95905,43.3694
0.571199,4.10312,46.6435
0.602932,4.23679,49.8261
0.634665,4.36005,52.9029
0.666398,4.47297,55.8614
0.698132,4.57568,58.6918
0.729865,4.66837,61.3875
0.761598,4.75129,63.9426
0.793331,4.82469,66.3486
0.825065,4.88879,68.5903
0.856798,4.9438,70.6433
0.888531,4.98989,72.4758
0.920265,5.02724,74.0538
0.951998,5.05612,75.3481
0.983731,5.07694,76.3418
1.01546,5.09025,77.0328
1.0472,5.09674,77.4351
1.07893,5.09719,77.5749
1.11066,5.0923,77.486
1.1424,5.08265,77.2055
1.17413,5.06849,76.7673
1.20586,5.04972,76.197
1.2376,5.0258,75.5058
1.26933,4.9958,74.6871
1.30106,4.95846,73.7159
1.3328,4.91243,72.5545
1.36453,4.85647,71.1624
1.39626,4.78975,69.5085
1.428,4.71214,67.5839
1.45973,4.62438,65.4102
1.49146,4.52826,63.0425
1.5232,4.42654,60.5666
1.55493,4.32289,58.09
1.58666,4.22167,55.7286
1.6184,4.12764,53.5925
1.65013,4.0456,51.7786
1.68186,3.97999,50.3677
1.7136,3.93433,49.416
1.74533,3.9107,48.9397
1.77706,3.90931,48.9152
1.8088,3.92829,49.2897
1.84053,3.96401,49.9835
1.87226,4.01164,50.8911
1.904,4.06588,51.8944
1.93573,4.12165,52.8843
1.96746,4.17457,53.775
1.9992,4.22132,54.5022
2.03093,4.25973,55.0116
2.06266,4.28875,55.2559
2.0944,4.30829,55.2082
2.12613,4.31909,54.8764
2.15786,4.32238,54.3062
2.18959,4.31969,53.5705
2.22133,4.31254,52.7497
2.25306,4.30215,51.9118
2.28479,4.28929,51.0972
2.31653,4.27415,50.3153
2.34826,4.25634,49.5508
2.37999,4.23499,48.7743
2.41173,4.20887,47.9503
2.44346,4.17652,47.0418
2.47519,4.13631,46.0105
2.50693,4.08647,44.8162
2.53866,4.02506,43.4166
2.57039,3.95002,41.7697
2.60213,3.85917,39.8376
2.63386,3.75036,37.593
2.66559,3.62164,35.0266
2.69733,3.47154,32.1538
2.72906,3.29929,29.0176
2.76079,3.10505,25.6874
2.79253,2.89003,22.2526
2.82426,2.65642,18.8137
2.85599,2.40729,15.4724
2.88773,2.1463,12.3238
2.91946,1.87737,9.4501
2.95119,1.60429,6.91549
2.98293,1.33037,4.76356
3.01466,1.05809,3.01657
3.04639,0.788948,1.67808
3.07813,0.523379,0.738626
3.10986,0.260828,0.183447
3.14159,3.88071e-14,6.86341e-14
