Theta,Radius,Area
0,8.06728e-15,0
0.0317333,0.290999,0.232518
0.0634665,0.578908,0.920364
0.0951998,0.861043,2.03672
0.126933,1.13551,3.54373
0.158666,1.40135,5.40009
0.1904,1.65849,7.56759
0.222133,1.90748,10.0144
0.253866,2.14914,12.715
0.285599,2.38418,15.6468
0.317333,2.61293,18.7861
0.349066,2.83511,22.1046
0.380799,3.04987,25.5668
0.412532,3.25588,29.1284
0.444266,3.45153,32.7377
0.475999,3.63526,36.3377
0.507732,3.80576,39.8721
0.539465,3.96223,43.2917
0.571199,4.10453,46.5627
0.602932,4.23319,49.6698
0.634665,4.34931,52.6169
0.666398,4.45439,55.4216
0.698132,4.54997,58.1061
0.729865,4.63737,60.6882
0.761598,4.71746,63.1732
0.793331,4.79045,65.5491
0.825065,4.85596,67.7852
0.856798,4.91312,69.8341
0.888531,4.96086,71.6376
0.920265,4.99822,73.1362
0.951998,5.02468,74.2813
0.983731,5.04034,75.0482
1.01546,5.04609,75.4452
1.0472,5.04345,75.5161
1.07893,5.03439,75.3335
1.11066,5.02098,74.9845
1.1424,5.00498,74.5506
1.17413,4.98751,74.0905
1.20586,4.96883,73.6288
1.2376,4.9482,73.155
1.26933,4.92406,72.63
1.30106,4.89424,71.9947
1.3328,4.85639,71.1801
1.36453,4.80838,70.1166
1.39626,4.74876,68.7463
1.428,4.67713,67.0373
1.45973,4.59431,64.998
1.49146,4.50248,62.6849
1.5232,4.40496,60.202
1.55493,4.30601,57.6877
1.58666,4.21032,55.2941
1.6184,4.12257,53.1594
1.65013,4.04692,51.3819
1.68186,3.98663,50.0088
1.7136,3.94378,49.0469
1.74533,3.91924,48.4837
1.77706,3.91268,48.2982
1.8088,3.92276,48.4587
1.84053,3.9473,48.9151
1.87226,3.98353,49.5988
1.904,4.02837,50.4304
1.93573,4.07867,51.3317
1.96746,4.13148,52.2356
1.9992,4.18414,53.0904
2.03093,4.23434,53.8569
2.06266,4.2801,54.502
2.0944,4.31974,54.9914
2.12613,4.35185,55.2888
2.15786,4.37535,55.3615
2.18959,4.38955,55.1915
2.22133,4.39421,54.7834
2.25306,4.38953,54.1624
2.28479,4.37606,53.3645
2.31653,4.35455,52.4234
2.34826,4.32577,51.3648
2.37999,4.29026,50.21
2.41173,4.24821,48.9823
2.44346,4.1993,47.7067
2.47519,4.14266,46.3965
2.50693,4.07687,45.0345
2.53866,4.00009,43.5626
2.57039,3.91026,41.8925
2.60213,3.80533,39.9334
2.63386,3.68356,37.6229
2.66559,3.54376,34.9478
2.69733,3.38544,31.9475
2.72906,3.20881,28.7019
2.76079,3.01477,25.312
2.79253,2.80475,21.8808
2.82426,2.58059,18.5016
2.85599,2.34441,15.2548
2.88773,2.09846,12.2098
2.91946,1.84502,9.42654
2.95119,1.58624,6.95547
2.98293,1.32402,4.83519
3.01466,1.05988,3.09079
3.04639,0.79493,1.73452
3.07813,0.529818,0.769018
3.10986,0.264835,0.191914
3.14159,4.42871e-14,1.3054e-13
