Theta,Radius,Area
0,9.60712e-15,0
0.0317333,0.293183,0.239492
0.0634665,0.586232,0.958017
0.0951998,0.878814,2.15504
0.126933,1.17041,3.8273
0.158666,1.46021,5.96533
0.1904,1.74699,8.54892
0.222133,2.02908,11.5429
0.253866,2.30442,14.8947
0.285599,2.57066,18.5357
0.317333,2.82551,22.3863
0.349066,3.06695,26.3643
0.380799,3.29352,30.3939
0.412532,3.50446,34.4137
0.444266,3.69978,38.3809
0.475999,3.88014,42.2729
0.507732,4.04671,46.0841
0.539465,4.2009,49.8199
0.571199,4.34415,53.4886
0.602932,4.47773,57.0933
0.634665,4.60255,60.6264
0.666398,4.71906,64.0676
0.698132,4.82729,67.385
0.729865,4.92685,70.5369
0.761598,5.01706,73.4751
0.793331,5.09713,76.1472
0.825065,5.16636,78.5009
0.856798,5.22424,80.4909
0.888531,5.2707,82.0886
0.920265,5.30609,83.291
0.951998,5.3313,84.127
0.983731,5.34761,84.656
1.01546,5.35663,84.9585
1.0472,5.36003,85.1224
1.07893,5.35929,85.2267
1.11066,5.35549,85.3289
1.1424,5.349,85.4554
1.17413,5.33947,85.5938
1.20586,5.3257,85.6856
1.2376,5.30581,85.6226
1.26933,5.27738,85.2558
1.30106,5.23778,84.4229
1.3328,5.18459,82.9917
1.36453,5.11606,80.9056
1.39626,5.03163,78.2154
1.428,4.93233,75.0853
1.45973,4.82098,71.7661
1.49146,4.70206,68.5304
1.5232,4.58134,65.5789
1.55493,4.46514,62.9867
1.58666,4.35958,60.7532
1.6184,4.27003,58.8863
1.65013,4.20088,57.4314
1.68186,4.15533,56.4432
1.7136,4.13527,55.9453
1.74533,4.1408,55.9219
1.77706,4.16998,56.3321
1.8088,4.21885,57.1084
1.84053,4.28194,58.1417
1.87226,4.35305,59.2863
1.904,4.42607,60.3913
1.93573,4.49572,61.3353
1.96746,4.55809,62.0456
1.9992,4.61087,62.4963
2.03093,4.65337,62.6946
2.06266,4.68622,62.673
2.0944,4.71102,62.4916
2.12613,4.72974,62.2365
2.15786,4.7442,61.9964
2.18959,4.75564,61.8253
2.22133,4.76437,61.7156
2.25306,4.76976,61.6033
2.28479,4.77048,61.3987
2.31653,4.76476,61.0228
2.34826,4.75082,60.4289
2.37999,4.72715,59.6044
2.41173,4.69267,58.5569
2.44346,4.64674,57.295
2.47519,4.58905,55.8141
2.50693,4.5195,54.0962
2.53866,4.43795,52.12
2.57039,4.34409,49.8737
2.60213,4.23725,47.3591
2.63386,4.11632,44.5871
2.66559,3.97975,41.5705
2.69733,3.82574,38.3212
2.72906,3.65252,34.855
2.76079,3.45871,31.2018
2.79253,3.24367,27.4129
2.82426,3.00768,23.5631
2.85599,2.75209,19.744
2.88773,2.4791,16.0538
2.91946,2.19158,12.587
2.95119,1.89265,9.42791
2.98293,1.58542,6.64759
3.01466,1.27261,4.3038
3.04639,0.956384,2.44096
3.07813,0.638308,1.09079
3.10986,0.319341,0.273532
3.14159,2.84439e-14,1.42109e-13
