Theta,Radius,Area
0,6.52014e-15,0
0.0317333,0.285475,0.2235
0.0634665,0.569014,0.887909
0.0951998,0.848757,1.97545
0.126933,1.12318,3.45813
0.158666,1.39118,5.29998
0.1904,1.65202,7.45976
0.222133,1.9052,9.8935
0.253866,2.15033,12.5567
0.285599,2.38691,15.4061
0.317333,2.61432,18.4015
0.349066,2.83183,21.5072
0.380799,3.03865,24.6928
0.412532,3.23409,27.9322
0.444266,3.41759,31.2012
0.475999,3.5888,34.4761
0.507732,3.74764,37.7315
0.539465,3.89427,40.942
0.571199,4.02914,44.0823
0.602932,4.15288,47.1289
0.634665,4.26627,50.0597
0.666398,4.37004,52.8532
0.698132,4.46481,55.4885
0.729865,4.55097,57.9453
0.761598,4.62863,60.2049
0.793331,4.69765,62.2517
0.825065,4.75771,64.0731
0.856798,4.80844,65.6592
0.888531,4.84959,67.0016
0.920265,4.88112,68.0941
0.951998,4.90337,68.9363
0.983731,4.91709,69.5387
1.01546,4.92344,69.9279
1.0472,4.92385,70.1479
1.07893,4.91979,70.2553
1.11066,4.91252,70.3088
1.1424,4.90278,70.3548
1.17413,4.89059,70.4108
1.20586,4.87514,70.453
1.2376,4.85483,70.4109
1.26933,4.82746,70.1772
1.30106,4.79059,69.6314
1.3328,4.74198,68.6718
1.36453,4.68015,67.2457
1.39626,4.60482,65.37
1.428,4.51725,63.1371
1.45973,4.42029,60.7036
1.49146,4.31815,58.2558
1.5232,4.21587,55.9542
1.55493,4.11861,53.8938
1.58666,4.03099,52.1156
1.6184,3.95671,50.6399
1.65013,3.89846,49.4783
1.68186,3.858,48.6332
1.7136,3.83615,48.1011
1.74533,3.83265,47.8743
1.77706,3.84593,47.9274
1.8088,3.8731,48.2008
1.84053,3.91019,48.6024
1.87226,3.95277,49.0415
1.904,3.99667,49.4648
1.93573,4.03856,49.8475
1.96746,4.07626,50.1542
1.9992,4.10884,50.3389
2.03093,4.13632,50.3835
2.06266,4.15933,50.3183
2.0944,4.17874,50.2088
2.12613,4.19527,50.12
2.15786,4.20929,50.077
2.18959,4.22069,50.0499
2.22133,4.22895,49.9705
2.25306,4.23332,49.7653
2.28479,4.23298,49.3822
2.31653,4.22731,48.8014
2.34826,4.21589,48.0339
2.37999,4.19855,47.1117
2.41173,4.17519,46.0759
2.44346,4.14557,44.9638
2.47519,4.10903,43.7979
2.50693,4.06434,42.5773
2.53866,4.00956,41.274
2.57039,3.94214,39.8346
2.60213,3.85909,38.1897
2.63386,3.75726,36.2687
2.66559,3.63375,34.0178
2.69733,3.4863,31.4148
2.72906,3.3137,28.4801
2.76079,3.11608,25.277
2.79253,2.89503,21.9053
2.82426,2.65353,18.4872
2.85599,2.39576,15.15
2.88773,2.12657,12.0109
2.91946,1.851,9.16408
2.95119,1.57372,6.67556
2.98293,1.29854,4.58195
3.01466,1.0281,2.89498
3.04639,0.763665,1.60873
3.07813,0.505153,0.707946
3.10986,0.251308,0.175852
3.14159,3.61726e-14,1.42109e-14
