Theta,Radius,Area
0,6.04027e-15,0
0.0317333,0.324015,0.280278
0.0634665,0.643725,1.10613
0.0951998,0.95521,2.43557
0.126933,1.25544,4.20749
0.158666,1.54249,6.35213
0.1904,1.81563,8.80101
0.222133,2.07507,11.4943
0.253866,2.32178,14.3842
0.285599,2.55703,17.4353
0.317333,2.78209,20.622
0.349066,2.99793,23.9248
0.380799,3.20503,27.326
0.412532,3.40337,30.8059
0.444266,3.59248,34.34
0.475999,3.7716,37.8983
0.507732,3.94,41.4474
0.539465,4.09711,44.9543
0.571199,4.2428,48.391
0.602932,4.37736,51.7379
0.634665,4.50147,54.9852
0.666398,4.616,58.13
0.698132,4.72171,61.1707
0.729865,4.81901,64.098
0.761598,4.90781,66.8872
0.793331,4.98741,69.4938
0.825065,5.05668,71.8558
0.856798,5.1143,73.9031
0.888531,5.15914,75.5721
0.920265,5.1906,76.8226
0.951998,5.20895,77.6512
0.983731,5.21544,78.0968
1.01546,5.21224,78.2369
1.0472,5.20215,78.1747
1.07893,5.18819,78.02
1.11066,5.17301,77.8711
1.1424,5.15847,77.7967
1.17413,5.14517,77.8219
1.20586,5.13229,77.9172
1.2376,5.11757,77.9946
1.26933,5.09764,77.9172
1.30106,5.06852,77.5244
1.3328,5.02633,76.6669
1.36453,4.96806,75.2432
1.39626,4.89223,73.227
1.428,4.79938,70.6775
1.45973,4.69216,67.7311
1.49146,4.57513,64.5778
1.5232,4.45414,61.4288
1.55493,4.3357,58.4833
1.58666,4.22619,55.9017
1.6184,4.13133,53.7897
1.65013,4.05575,52.196
1.68186,4.00272,51.1194
1.7136,3.97389,50.5249
1.74533,3.96905,50.3592
1.77706,3.98595,50.5572
1.8088,4.02054,51.0363
1.84053,4.06758,51.6887
1.87226,4.12156,52.3947
1.904,4.17763,53.0582
1.93573,4.23227,53.642
1.96746,4.28347,54.1699
1.9992,4.33054,54.6895
2.03093,4.37359,55.2225
2.06266,4.41292,55.7465
2.0944,4.44851,56.2071
2.12613,4.47979,56.5369
2.15786,4.50568,56.6762
2.18959,4.52481,56.5892
2.22133,4.53587,56.2695
2.25306,4.53791,55.7313
2.28479,4.53058,54.9951
2.31653,4.51418,54.0782
2.34826,4.48967,52.9955
2.37999,4.45851,51.7675
2.41173,4.42235,50.4266
2.44346,4.38273,49.0167
2.47519,4.3406,47.5826
2.50693,4.2959,46.1542
2.53866,4.24728,44.7301
2.57039,4.19194,43.2683
2.60213,4.12579,41.6894
2.63386,4.04383,39.8931
2.66559,3.9408,37.7832
2.69733,3.81191,35.2929
2.72906,3.65356,32.4026
2.76079,3.46392,29.1472
2.79253,3.24322,25.6115
2.82426,2.99387,21.917
2.85599,2.72011,18.2051
2.88773,2.42754,14.6182
2.91946,2.12239,11.284
2.95119,1.81081,8.30435
2.98293,1.49813,5.74914
3.01466,1.18833,3.65745
3.04639,0.883767,2.04287
3.07813,0.585025,0.902141
3.10986,0.291147,0.224539
3.14159,2.9478e-14,1.3843e-13
